State,Capital,Nickname
Alabama,Montgomery,"Cotton State, Yellowhammer State"
Alaska,Juneau,The Last Frontier
Arizona,Phoenix,Grand Canyon State
Arkansas,Little Rock,Natural State
California,Sacramento,Golden State
Colorado,Denver,Centennial State
Connecticut,Hartford,"Nutmeg State, Constitution State"
Delaware,Dover,"First State, Diamond State"
Florida,Tallahassee,Sunshine State
Georgia,Atlanta,"Peach State, Empire State of the South"
Hawaii,Honolulu,Aloha State
Idaho,Boise,Gem State
Illinois,Springfield,"Prairie State, Land of Lincoln"
Indiana,Indianapolis,Hoosier State
Iowa,Des Moines,"Hawkeye State, Corn State"
Kansas,Topeka,"Sunflower State, Jayhawker State"
Kentucky,Frankfort,Bluegrass State
Louisiana,Baton Rouge,"Pelican State, Creole State, Sugar State"
Maine,Augusta,Pine Tree State
Maryland,Annapolis,"Free State, Old Line State"
Massachusetts,Boston,"Bay State, Old Colony State"
Michigan,Lansing,"Wolverine State, Great Lake State"
Minnesota,Saint Paul,"North Star State, Gopher State, Land of 10,000 Lakes, Land of Sky-Blue Waters"
Mississippi,Jackson,Magnolia State
Missouri,Jefferson City,Show Me State
Montana,Helena,"Treasure State, Big Sky Country"
Nebraska,Lincoln,"Cornhusker State, Beef State"
Nevada,Carson City,"Silver State, Sagebrush State, Battle Born State"
New Hampshire,Concord,Granite State
New Jersey,Trenton,Garden State
New Mexico,Santa Fe,"Land of Enchantment, Sunshine State"
New York,Albany,Empire State
North Carolina,Raleigh,"Tar Heel State, Old North State"
North Dakota,Bismarck,"Flickertail State, Sioux State, Peace Garden State"
Ohio,Columbus,Buckeye State
Oklahoma,Oklahoma City,Sooner State
Oregon,Salem,Beaver State
Pennsylvania,Harrisburg,Keystone State
Rhode Island,Providence,"Ocean State, Little Rhody"
South Carolina,Columbia,Palmetto State
South Dakota,Pierre,The Mount Rushmore State
Tennessee,Nashville,Volunteer State
Texas,Austin,Lone Star State
Utah,Salt Lake City,Beehive State
Vermont,Montpelier,Green Mountain State
Virginia,Richmond,"The Old Dominion, Mother of Presidents"
Washington,Olympia,"Evergreen State, Chinook State"
West Virginia,Charleston,Mountain State
Wisconsin,Madison,"Badger State, America’s Dairyland"
Wyoming,Cheyenne,Equality State
